participant_number,map,rotation,vision,haptic,average_dist_to_nearest_obstacle,time_through_maze,path_length,average_velocity,area_between_lead_and_robot,condition
2,6,0,1,0,0.845344966605518,17.22,15.1948568374852,1.09820813632257,1.34192976185759,3
2,6,90,0,0,0.812932055847821,21.73,14.1257386478786,0.933537673981073,0.562263892682097,4
2,6,180,1,1,0.753728670214897,15.45,15.7452442680953,1.22988631434276,8.19005083087738,2
2,7,0,0,0,0.838106755155186,28.22,17.9484811149903,0.764133407094003,1.00162446971589,4
2,7,90,1,1,0.775926937124647,20.26,14.434043865638,0.876168237160479,3.09967084555637,2
2,7,180,0,1,0.695215734832993,30.14,19.8594762291303,0.734703557944465,12.5382457128933,1
2,7,270,1,0,0.9160456443389,17.49,15.2392041817901,1.07995951290529,2.34262465729105,3
2,8,0,1,1,0.747906055070381,20.78,14.6412582998389,0.838402344405013,4.2461541464732,2
2,8,90,1,0,0.851719266935539,15.11,14.1266716855273,1.18206251299388,2.87636782671126,3
2,8,180,0,1,0.677614976800015,54.97,31.6897123730781,0.590267459389044,8.71443103365304,1
2,8,270,0,0,0.806099615887127,36.41,15.3196327490012,0.833828527909346,1.97539696167962,4
2,9,180,1,1,0.762214047268036,18.3,17.2456788133551,1.10163007208111,6.14295254538576,2
2,9,180,0,0,0.809839377746084,31.46,30.925400283507,0.966619006992593,2.83587562727221,4
2,9,270,0,1,0.733917136013415,39.42,19.7284703342203,0.596573956126576,8.11188512380505,1
2,9,270,1,0,0.869886650252076,19.27,14.5118048185839,0.989185421502859,1.9251596729169,3
2,10,0,1,1,0.790119140551462,23.66,15.3531918752818,0.836875775734198,4.80993638660659,2
2,10,180,0,0,0.794703353939633,40.04,32.1534860146222,0.772449884735815,3.11713814687008,4
2,10,270,0,1,0.734593810505419,34.52,15.59501478289,0.627012570606492,6.61212164388742,1
2,10,270,1,0,0.893498899320626,17.75,15.7388440455775,1.14021769420166,3.50993163121426,3
2,11,0,0,1,0.727594278784022,49.31,31.1180525255103,0.616750154358176,9.71487759677937,1
2,11,0,1,0,0.871735587193598,23.77,22.4046027131665,1.01179290655162,1.75465185636305,3
2,11,180,1,1,0.802659279268758,25.1,22.696089375229,0.942261156983935,3.09356448848494,2
2,11,180,0,0,0.797563621883255,41.89,36.4056443113456,0.808017217275047,3.66374120414651,4
3,3,90,1,1,0.694577799553509,23.47,15.3408024284666,1.17526914620074,12.8592848877323,1
3,3,270,0,1,0.876559550327828,24.86,14.1274029384933,1.12557137286236,3.05819629312317,3
