"","participant","trial","condition_nums","time_through_maze","max_force","path_length","haptic","visual","map","average_velocity","average_proximity","average_force"
"335","39","P39_13","4",34.07,0.735450469939189,19.0406340569769,"0","0",5,0.55871876406446,0.851743862371544,0.31329711180667
"336","39","P39_14","1",27.3,2.01921720591074,20.198455634043,"1","1",5,0.739706659385576,0.798081548531746,0.817099787708814
"337","39","P39_15","2",161.91,2.00124012506358,32.7992058530513,"1","0",5,0.227850475502282,0.640977742234556,0.245471715689162
"338","39","P39_16","3",24.78,2.00077953772066,19.6601860379804,"0","1",5,0.793158057370245,0.852515142792334,0.585067328365132
"339","39","P39_17","1",19.71,1.65992738644939,19.5232050302044,"1","1",6,0.990031798542344,0.943739155464577,0.866392831927742
"340","39","P39_18","2",65.28,2.00197273669045,20.7299520265026,"1","0",6,0.369131511469571,0.694360910332887,0.293489246149453
"341","39","P39_19","3",19.52,2.37896456627656,19.5754457473852,"0","1",6,1.00241870772372,0.888354044894477,1.12863227239508
"342","39","P39_2","2",154.67,2.00000039905904,27.6240245690468,"1","0",10,0.22022127594649,0.625937071242724,0.293531200365512
"343","39","P39_20","4",64.76,1.14074285892053,27.9941583251065,"0","0",6,0.427956095743216,0.811204928267928,0.142517829746558
"344","39","P39_21","3",20.16,2.09345407145444,19.7371131883349,"0","1",7,0.978565043659686,0.840072155373907,1.08002722697576
"345","39","P39_22","1",33.81,1.80919147237603,18.7872984558216,"1","1",7,0.625848320077879,0.761136926297548,0.599273265135144
"346","39","P39_24","2",304.17,2.00005000737973,65.4721392864834,"1","0",7,0.252272696860868,0.63977959994936,0.253449390008003
"347","39","P39_25","3",22.29,1.91391198341625,18.6064131455223,"0","1",8,0.834411963306416,0.882305105457247,0.834526991864014
"348","39","P39_26","1",19.54,1.79619723605493,18.1910582409359,"1","1",8,0.930561293272383,0.908538267248348,0.806831994147003
"349","39","P39_27","4",70.36,0.69950476721938,30.7204115778167,"0","0",8,0.434546179151385,0.820378413818983,0.266473612608259
"350","39","P39_28","2",2.24000000000001,0.384851494010982,0.500156167973992,"1","0",8,0.222277293225021,0.636339132092176,0.309531088699694
"351","39","P39_29","1",26.39,0.981241500904667,18.5002211123796,"1","1",9,0.700802057402487,0.869455478835116,0.453026130607399
"352","39","P39_3","3",33.67,1.76389647250455,24.9625759830931,"0","1",10,0.740106879512336,0.805325657655516,0.558840947396155
"353","39","P39_30","3",21.45,2.82842712474619,20.1178895997552,"0","1",9,0.909977797878412,0.836571427381824,1.3049402116704
"354","39","P39_31","4",81.83,1.31016540934717,37.0357973276345,"0","0",9,0.452512258252706,0.815529788215811,0.20314462760277
"355","39","P39_32","2",291.02,2.00613535507649,47.3392293956969,"1","0",9,0.173889417636993,0.638667572368672,0.230389415065193
"356","39","P39_4","1",26.9,2.06483421729302,18.9814377627042,"1","1",10,0.704350203613384,0.784772795689729,0.755407904158251
"357","39","P39_5","2",132.48,1.96555252824718,28.2986728460025,"1","0",11,0.21302468127641,0.63874173187697,0.223583463452703
"358","39","P39_6","3",23.27,2.40442037497995,22.8490759687828,"0","1",11,0.981519679829744,0.841896046340502,1.12688457776385
"359","39","P39_7","1",32.61,2.10111036586292,23.8228740987284,"1","1",11,0.730156088059948,0.849757791148523,0.533687083653191
"360","39","P39_8","4",64.3,0.919644518215743,32.8613708862075,"0","0",11,0.510488641298915,0.800749604637456,0.276221809117158
"361","39","P39_9","1",43.06,2,29.8352262287914,"1","1",3,0.692314068420936,0.856092813707509,0.435259245241892
"362","40","P40_1","4",33.47,1.35423615807713,19.0424009362197,"0","0",10,0.568835239259906,0.823526838105856,0.373545919018632
"363","40","P40_10","4",43.47,1.35354928979559,29.8472864738603,"0","0",3,0.686377091594786,0.705533934981062,0.475990669549946
"364","40","P40_11","2",18.96,1.39646957915852,3.2994739995775,"1","0",3,0.17103027013724,0.562651165974384,0.372907418017502
"365","40","P40_12","1",65.18,1.30482632144635,31.3269687941716,"1","1",3,0.472924260965349,0.851264975937218,0.24225036955091
"366","40","P40_13","4",27.46,1.32051708205078,20.1028278947875,"0","0",5,0.731897660623287,0.79822803482109,0.380100001267943
"367","40","P40_14","3",21.29,2.00000559415076,19.2117779243706,"0","1",5,0.901953237955785,0.870415034128304,1.06402475054584
"368","40","P40_15","2",58.86,1.88567679974581,21.884973162694,"1","0",5,0.387733523283077,0.772661644402392,0.245016887662865
"369","40","P40_16","1",35.92,1.053973643398,19.6812721550996,"1","1",5,0.547806500977455,0.824966469144881,0.235315483258793
"370","40","P40_17","1",43.81,1.55850627211717,20.4366987190545,"1","1",6,0.463512766805652,0.783671345862615,0.374897061990991
"371","40","P40_18","3",20.78,1.89721905889845,19.4827170253256,"0","1",6,0.937053346646094,0.888591189477956,0.83446302954363
"372","40","P40_19","2",53.94,2.00002560984627,21.1608327986978,"1","0",6,0.473176625502344,0.694397710164495,0.433496908861385
"373","40","P40_2","3",23.47,1.7185891262006,18.2706274296927,"0","1",10,0.778239034431308,0.914738662483201,0.615242197788101
"374","40","P40_20","4",24.38,1.73435045867768,19.6508812353018,"0","0",6,0.805780595979108,0.84807774964424,0.728795793096448
"375","40","P40_21","4",32.7,1.58799207966998,20.9325834667594,"0","0",7,0.639975727830973,0.787886092024134,0.388274742744596
"376","40","P40_22","3",19.73,2.01487130971232,18.2024837784294,"0","1",7,0.922255021845477,0.906687484011023,0.98203624464949
"377","40","P40_23","1",50.97,2.00052010744498,20.8250245175966,"1","1",7,0.407925487688063,0.752809026962994,0.359723320873379
"378","40","P40_24","2",66.06,1.61136227826258,21.5279987902003,"1","0",7,0.324305477518165,0.724850629036685,0.266639900536173
"379","40","P40_25","3",31.44,1.30013388177746,18.3248660567055,"0","1",8,0.582690962456385,0.826702614530438,0.429922369272594
"380","40","P40_26","1",45.5,2.00001965670801,20.8481137845245,"1","1",8,0.456080816602089,0.814341857528756,0.33684451151415
"381","40","P40_27","4",42.08,0.86704643404074,19.274365504485,"0","0",8,0.457921149755206,0.885075178931615,0.267142505649391
