participant,trial,condition_nums,time_through_maze,max_force,path_length,haptic,visual,n
39,P39_11,2,128.41000000000003,1.2954933675545521,32.22972781773986,1,0,1
39,P39_15,2,161.91,2.001240125063577,32.79920585305126,1,0,1
39,P39_2,2,154.67,2.000000399059035,27.62402456904677,1,0,1
39,P39_24,2,304.17,2.000050007379727,65.47213928648343,1,0,1
39,P39_32,2,291.02000000000004,2.006135355076492,47.339229395696925,1,0,1
39,P39_5,2,132.48,1.9655525282471784,28.29867284600245,1,0,1
40,P40_28,2,121.21000000000001,2.0232346477490037,29.37014450218597,1,0,1
40,P40_4,2,121.78,2.250559688218,30.135780389297487,1,0,1
41,P41_14,2,154.25,2.1836655975333983,25.846619175382347,1,0,1
41,P41_17,2,120.41,2.197044396024329,23.786565727757257,1,0,1
41,P41_24,2,128.96,2.100617069060294,20.90545685413336,1,0,1
41,P41_27,2,125.29999999999998,1.8876335384257983,33.22539297526791,1,0,1
41,P41_31,4,104.86999999999999,0.5596905388837208,25.46080838912796,0,0,1
41,P41_32,2,150.13,2.142150364124027,23.14852071053226,1,0,1
41,P41_4,2,141.38,2,26.476519888489463,1,0,1
41,P41_5,2,127.13,2.0000099659784127,31.403589210422446,1,0,1
41,P41_9,2,296.63,2.7988239539105995,42.83266831664118,1,0,1
42,P42_9,2,387.76,2.8284271247461903,52.429763938628156,1,0,1
43,P43_32,2,321.33000000000004,2.8284271247461903,45.83180518838548,1,0,1
44,P44_12,2,131.29,2.3171183604189696,35.648015172157436,1,0,1
44,P44_18,2,224.8,2.8284271247461903,48.338491323088036,1,0,1
44,P44_26,2,190.36,2.8284271247461903,40.52802418589635,1,0,1
46,P46_10,2,242.4,2.4574526939596217,38.10735641616396,1,0,1
46,P46_16,2,185.86,2.8284271247461903,40.28930780503954,1,0,1
46,P46_25,2,152.98000000000002,2.556898950684342,30.780018828996575,1,0,1
46,P46_30,2,115.06,2.07595216910089,26.40746438702693,1,0,1
46,P46_5,4,117.08999999999999,0.37569635204270185,26.386723844567815,0,0,1
46,P46_7,2,240.29000000000002,2.000691186548106,41.64867251374997,1,0,1
47,P47_1,2,273.24,2.0323541341159195,33.74798843756361,1,0,1
47,P47_12,2,421.26,1.8465155944370926,52.34679994399134,1,0,1
47,P47_13,2,215.34,2.4804922802798846,40.929173631857296,1,0,1
47,P47_20,2,152.46999999999997,2.081423078471071,23.156748583846046,1,0,1
47,P47_23,2,240.62,2.1890757220031776,36.65700211223222,1,0,1
47,P47_28,2,163.33,2.1107694663590535,24.481047218801937,1,0,1
47,P47_32,2,185.11,1.8883487139861614,31.124197532269097,1,0,1
48,P48_11,2,159.39000000000001,2.4940720395729836,34.57498525829118,1,0,1
48,P48_23,2,102.14000000000001,0.3038829466709652,19.408441479216076,1,0,1
48,P48_28,2,159.18,2.8284271247461903,24.637078185870582,1,0,1
48,P48_3,2,101.14,2.077434433440421,21.70787043026832,1,0,1
