"","participant","haptic","visual","condition_nums","experiment","average_time_through_maze","average_path_length","average_velocity","average_proximity","average_force"
"29",4,"1","0","2",2,106.066666666667,31.2202877114552,0.378155754402057,0.634960768857744,0.491280522031234
"30",4,"1","1","1",1,24.375,20.8862567137957,0.884214742188016,0.846346758094807,0.882130418102246
"31",4,"1","1","1",2,26.75125,19.7898111280295,0.7442520241417,0.810671798064615,0.499356837169533
"32",5,"0","0","4",1,42.245,32.0391827280313,0.736017542319258,0.746503040588812,0.662279472385326
"33",5,"0","0","4",2,28.095,23.8455173486737,0.87358335660526,0.811910409917168,0.933981600944641
"34",5,"0","1","3",1,20.7985714285714,21.7221126768168,1.05961735154086,0.875850689649383,1.20524146877013
"35",5,"0","1","3",2,28.81375,20.8488725260788,0.745438538084043,0.903709426506851,0.629310469679383
"36",5,"1","0","2",2,80.9725,26.7114182765717,0.423092682980278,0.652508806066918,0.547805642438769
"37",5,"1","1","1",1,20.78125,20.9778358086488,1.01813918739922,0.808516624448617,1.03395131225071
"38",5,"1","1","1",2,33.23,20.9737441559935,0.683900859213766,0.810739919780996,0.491693034387698
"39",6,"0","0","4",1,36.8675,22.5129695881869,0.617895760557892,0.827092381941517,0.32196508388992
"40",6,"0","0","4",2,46.8385714285714,24.858430238364,0.537638440079789,0.774442158736179,0.293223798395397
"41",6,"0","1","3",1,24.18625,20.3786154474926,0.843535804349138,0.892971582054466,0.590603987878503
"42",6,"0","1","3",2,24.01,22.013182738693,0.939235760145439,0.816461851475166,1.19096601069623
"43",6,"1","0","2",1,37.1316666666667,26.9458329179445,0.561022315556793,0.703821212120155,0.593730402469863
"44",6,"1","0","2",2,237.52,40.3639112798188,0.246487688776766,0.540713905451927,1.48457053274962
"45",6,"1","1","1",1,24.86,20.3919704578685,0.824542986619665,0.862644937779188,0.60524726748886
"46",6,"1","1","1",2,42.98,22.7077538721523,0.656106330913917,0.732324716592408,0.812821570323557
"47",7,"0","0","4",1,24.225,22.1922327074126,0.927233477135187,0.78415611898678,1.09535733918828
"48",7,"0","0","4",2,82.6025,22.9590403252523,0.298176644519862,0.826750111403235,0.0681202428415145
"49",7,"0","1","3",1,17.7175,20.5784644416931,1.15590758512729,0.842183691933643,1.42456175265826
"50",7,"0","1","3",2,44.79375,20.5087229577882,0.473933990610178,0.840846122270595,0.177233331413876
"51",7,"1","0","2",1,36.7766666666667,22.6163210103997,0.628980369829758,0.73913731380864,0.626275340595169
"52",7,"1","0","2",2,151.793333333333,26.5541033164239,0.391696461419682,0.667702669040429,0.740380797888223
"53",7,"1","1","1",1,25.68,22.3979699943448,0.857718226736686,0.776699838584827,0.954652232728576
"54",7,"1","1","1",2,51.85875,20.7805290648923,0.413258334861018,0.836306106435341,0.14319445315488
"55",8,"0","0","4",1,35.51375,22.0662583665129,0.642392864631693,0.841188140649282,0.411264466379646
"56",8,"0","0","4",2,40.2025,25.0040084087858,0.647209525969494,0.78281315591016,0.607307772542407
"57",8,"0","1","3",1,25.4925,20.033924571187,0.792695896175814,0.894125097594003,0.635186041331753
"58",8,"0","1","3",2,23.575,21.4423521417823,0.939743748112881,0.873286840447985,1.12024270038207
